Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC53A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC53A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC53A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC53A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC53A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC53A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBF6CA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBF6CA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBF6CA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBF6CA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBF6CA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBF6CA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xD24BA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC19A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC19A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC19A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC19A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC19A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC19A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0xBC19A530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x759DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x759DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x759DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x759DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x759DA530
Port <\\.\COM3>, error 2/The system cannot find the file specified.; Action: Open Com port; m_hCom=0x759DA530
